评论ID,评论时间,点赞数,UID,昵称,性别,用户等级,评论内容
1.27513E+11,20220826,1809,88438539,Mayerl,保密,5,"三天，双方阵亡4.2万人，这对于整个人类而言称不上那一方的胜利或光荣，这是一场悲剧，这些人中每一个人都像我们一样经历过许多，还有未来等着他们去经历的一切，最终却在人类的自相残杀中被一颗子弹或炮弹带走生命，长眠于异国他乡的土地…….
热切地盼望战争就此消失，在没有fxs式的罪恶再现于世，也希望所有在炮火中消逝为正义而战的战士和无辜的人们安息，并被后人永远铭记"
1.27515E+11,20220826,759,388272775,晨初见雨,男,5,我关注up很久了，作为一个高二理科生，我现在没有时间去实现成为一名军迷，历史爱好者的愿望，但是up的视频总会提醒我有这么一个愿望，并且将会在22个月后实现，希望up能坚持下去。我选择了理科，没有理由也没有机会去了解历史名将们的交手，也没有机会见证苏军与西面盟军会师的世界名画，up弥补了我这个遗憾，在此由衷地感谢up主。[微笑]
1.27677E+11,20220827,5995,519872016,历史调研室,保密,6,并不是骗局，那张照片里的人就是科瓦廖夫，这是摄影师自己说的。请注意我的文案，我从来没有说过科瓦廖夫是第一个把红旗插在国会大厦屋顶的，但那张照片的传播范围最广，所以当我讲到这个段落时，我讲的是科瓦廖夫。至于你说的霍什卡尔巴耶夫，他的确比科瓦廖夫更早，他在4月30日晚上插的，他很勇敢很厉害，但当时没有人拍下这一幕，而且德军在第二天就把他插的旗拔掉了（国会大厦当时尚未被完全攻陷）。
1.27685E+11,20220827,1159,244334889,DionKI,保密,5,回复 @历史调研室 :已经通过俄罗斯官方确认过的这一段，我觉得霍什卡尔巴耶夫值得和科瓦廖夫一样被提及，首位插上胜利旗帜的战士同样值得被铭记
1.27686E+11,20220827,177,179836712,魂毅明,保密,6,回复 @历史调研室 :还特意p掉了手腕上抢来的手表
1.27692E+11,20220827,457,391039496,固步自封吃枣要完,男,5,回复 @魂毅明 :说实话这其实没啥好p的，抢民众可能有点那啥，不过比起三德子图图斯拉夫人苏联没反图就很不错了，我特别好奇怎么p，那时又没有ps[脱单doge]
1.27692E+11,20220827,84,470900242,农批鰰,保密,5,回复 @魂毅明 :我只能说，这并没有什么问题。
1.27692E+11,20220827,105,86338845,无有所碍,男,6,回复 @魂毅明 :那么请问，德军对苏联做了什么？手表不是战利品？有什么值得题吗？
1.277E+11,20220827,141,225503871,战忽局从业人员,男,5,回复 @魂毅明 :手表一事也有争议，有说是西方抹黑，有一只手戴的不是手表而是指南针。还有辟谣的要求是拿出原照片证明，并试试当时的技术，以及拍照距离，怎么拍的照片可以清晰的发现2只手表的。总之，现在这事各有各的说法。
1.27701E+11,20220827,41,225503871,战忽局从业人员,男,5,回复 @固步自封吃枣要完 :手表一事也有争议，有说是西方抹黑，有一只手戴的不是手表而是指南针。还有辟谣的要求是拿出原照片证明，并试试当时的技术，以及拍照距离，怎么拍的照片可以清晰的发现2只手表的。总之，现在这事各有各的说法。
1.27701E+11,20220827,1,616687861,风宝琉璃,保密,5,回复 @固步自封吃枣要完 :后面就有ps了[doge]
1.27702E+11,20220828,16,179836712,魂毅明,保密,6,回复 @固步自封吃枣要完 :那有何难，从摄影诞生的那一天起，就有ps了
1.27677E+11,20220827,5995,519872016,历史调研室,保密,6,并不是骗局，那张照片里的人就是科瓦廖夫，这是摄影师自己说的。请注意我的文案，我从来没有说过科瓦廖夫是第一个把红旗插在国会大厦屋顶的，但那张照片的传播范围最广，所以当我讲到这个段落时，我讲的是科瓦廖夫。至于你说的霍什卡尔巴耶夫，他的确比科瓦廖夫更早，他在4月30日晚上插的，他很勇敢很厉害，但当时没有人拍下这一幕，而且德军在第二天就把他插的旗拔掉了（国会大厦当时尚未被完全攻陷）。
1.27685E+11,20220827,1159,244334889,DionKI,保密,5,回复 @历史调研室 :已经通过俄罗斯官方确认过的这一段，我觉得霍什卡尔巴耶夫值得和科瓦廖夫一样被提及，首位插上胜利旗帜的战士同样值得被铭记
1.27686E+11,20220827,177,179836712,魂毅明,保密,6,回复 @历史调研室 :还特意p掉了手腕上抢来的手表
1.27692E+11,20220827,457,391039496,固步自封吃枣要完,男,5,回复 @魂毅明 :说实话这其实没啥好p的，抢民众可能有点那啥，不过比起三德子图图斯拉夫人苏联没反图就很不错了，我特别好奇怎么p，那时又没有ps[脱单doge]
1.27692E+11,20220827,84,470900242,农批鰰,保密,5,回复 @魂毅明 :我只能说，这并没有什么问题。
1.27692E+11,20220827,105,86338845,无有所碍,男,6,回复 @魂毅明 :那么请问，德军对苏联做了什么？手表不是战利品？有什么值得题吗？
1.277E+11,20220827,141,225503871,战忽局从业人员,男,5,回复 @魂毅明 :手表一事也有争议，有说是西方抹黑，有一只手戴的不是手表而是指南针。还有辟谣的要求是拿出原照片证明，并试试当时的技术，以及拍照距离，怎么拍的照片可以清晰的发现2只手表的。总之，现在这事各有各的说法。
1.27701E+11,20220827,41,225503871,战忽局从业人员,男,5,回复 @固步自封吃枣要完 :手表一事也有争议，有说是西方抹黑，有一只手戴的不是手表而是指南针。还有辟谣的要求是拿出原照片证明，并试试当时的技术，以及拍照距离，怎么拍的照片可以清晰的发现2只手表的。总之，现在这事各有各的说法。
1.27701E+11,20220827,1,616687861,风宝琉璃,保密,5,回复 @固步自封吃枣要完 :后面就有ps了[doge]
1.27702E+11,20220828,16,179836712,魂毅明,保密,6,回复 @固步自封吃枣要完 :那有何难，从摄影诞生的那一天起，就有ps了
1.27709E+11,20220828,22,30398732,mengmengda_LDH,男,5,回复 @固步自封吃枣要完 :其实PS里面，什么蒙版，叠加都是之前用底片直接处理的[doge]
1.2771E+11,20220828,25,37915056,罐头鱼yy,男,6,回复 @历史调研室 :太严谨了[打call]
1.27714E+11,20220828,66,1951244830,湖边冒险家,男,2,回复 @魂毅明 :为什么不能是苏联当时装备的腕式指南针
1.27714E+11,20220828,76,1362400,CRSS-Rynar,保密,6,回复 @固步自封吃枣要完 :二战时期修改照片做报纸宣传简直是家常便饭。。。苏德双方的宣传战从底片修改到掐头去尾啥都用上了
1.27718E+11,20220828,36,405895924,PiedFalconet,男,5,回复 @固步自封吃枣要完 :胶片的二次处理，初代奥特曼的光线特效就是在胶片上画的出来的。
1.27727E+11,20220828,15,489497139,吾乃小丅OS,女,5,回复 @历史调研室 :是最著名的，而不是第一个
1.27727E+11,20220828,81,489497139,吾乃小丅OS,女,5,按照文案说法来看，应该是最著名的，而不是第一个
1.27745E+11,20220828,2,1385081145,INGSOC第一书记,保密,3,回复 @固步自封吃枣要完 :底片绘改了解下
1.27746E+11,20220828,2,20202452,颜之介,保密,6,回复 @固步自封吃枣要完 : 但你要同时知道虽然当时没有PS 但是同样照片也不是高清的，以前黑白照片P图 只需要把P的照片 在覆盖上原始照片上 或者纯粹的从 底片上用颜色覆盖 然后 就P完了
1.27755E+11,20220828,3,325501659,盐课司大使,男,5,回复 @固步自封吃枣要完 :用铅笔涂
1.27755E+11,20220828,0,2510597,漫游的俾斯麦,男,6,回复 @湖边冒险家 :艹[点赞]
1.27756E+11,20220828,5,325501659,盐课司大使,男,5,回复 @固步自封吃枣要完 :BV1rQ4y1y7vP
1.27757E+11,20220828,10,339890422,如果我有使命,女,5,回复 @魂毅明 :左手上的是指南针
1.27774E+11,20220828,54,122652394,吃屁--,男,5,回复 @DionKI :那你干嘛要说科瓦廖夫插旗是一个骗局呢？  人家确实也没说他是第一个啊 而且我们看到的最出名的就是科瓦廖夫插旗对不 你补充的也很有意义但是没必要否认别人 说是否认其实也不算 up主啥都没说不是吗 你完全可以说是你补充个小知识
1.27802E+11,20220828,2,391039496,固步自封吃枣要完,男,5,回复 @颜之介 :谢谢大佬[保卫萝卜_哭哭]
1.27827E+11,20220828,4,19098572,zzhhss12138,保密,6,柏林国会大厦由于纳粹上台早已废弃，只不过由于建筑结构坚固而被选定为防御阵地。柏林战役进入巷战阶段后各部队是有进攻区域的，原本互不干涉，进攻国会大厦的苏军碰了几次钉子后附近的苏军才发现这个地标建筑具有象征意义。
1.27853E+11,20220829,5,441015824,Mr空老,保密,4,谢谢你，你也让我了解了更多
1.27857E+11,20220829,5,1754909,日归东方,男,5,回复 @魂毅明 : 这就属于污蔑泼脏水了
1.27874E+11,20220829,57,397829799,ZXKR27,男,5,是这样的，先否认历史再否认事实，编出一个又一个反骗局并用所谓民族和地域问题来讽刺苏联，这也是为什么看历史的视频永远不要开弹幕，永远不要看评论，永远不要与人争辩，今天真是被恶心到了。
1.27877E+11,20220829,3,524729530,Hermityuz,保密,5,回复 @历史调研室 :第二天被拔掉有点惨[tv_笑哭]
1.27884E+11,20220829,0,16189293,玲珑骰子小精灵,女,5,真正的英雄
1.27888E+11,20220829,28,349680888,几只小松鼠呀,保密,5,按你说还有很多很多战士一样值得被铭记，都没讲呢，选一个讲没什么问题好吧，不知道在杠什么，显得自己知道很多吗?老董哥是吧
1.27894E+11,20220829,6,246386033,TA的嚎友,保密,5,回复 @魂毅明 :《兄弟连》里美军也有一胳膊腕表的士兵[OK]
1.27901E+11,20220829,1,302149443,花之明柚,保密,5,回复 @ZXKR27 :啊，讽刺?
1.27902E+11,20220829,5,17333462,高强度对线裁判,男,6,回复 @魂毅明 :那个不是手表，是苏联制式的指南针， 咸鱼上面多的是，  你可以买来对比一下。  和照片里一样
1.27905E+11,20220829,1,408664048,hope_奇,保密,5,回复 @ZXKR27 : 正确的，中肯的
1.27908E+11,20220829,1,457254067,墨轩江影,保密,5,回复 @历史调研室 :而且其实那面红旗还是借的杂货店老板的桌布[喜极而泣]
1.27911E+11,20220829,13,1111553892,一棵van豆,保密,3,回复 @花之明柚 :其实有关苏联的影视作品或科普视频很少有部分能客观的站在历史角度评价，现在黑苏的主要观点就是民族问题，地域问题，苏修以及各种屠杀和发动的战争，虽然确实有部分是真实历史，但大部分人别有用心玩文字游戏潜移默化的将苏联好的一面隐藏起来，而将其坏的一面夸张放大的呈现出来，所以站在辩证的角度看问题真的很重要啊[奋斗]
1.27912E+11,20220829,83,437371538,冰雪蓝海上的熊,男,4,我记得之前官方统计过在国会大厦附近起码有升过40余面红旗，具体位置已经不可考证了。霍什卡尔巴耶夫确实是第一个插旗，而科瓦廖夫那张也是最著名的，两个都是英雄没必要争。(另外，霍什卡尔巴耶夫插旗时候全苏电台广播是有通报，没有否认)
1.27912E+11,20220829,8,437371538,冰雪蓝海上的熊,男,4,顺便说一下有趣的，在苏军完全攻克国会大厦之前，已在数次突击过程中在楼内的多处，如外墙、正门楼梯、窗户、柱子和大厅中央等位置升起了好几面红旗。[笑哭]
1.27931E+11,20220829,1,542200758,StalinHYB,男,4,回复 @魂毅明 :后面也有说是腕式指南针
1.27939E+11,20220829,0,18644850,翔宇hello,保密,6,回复 @ZXKR27 :中肯的
1.27953E+11,20220829,1,1291326445,玩世界征服者的天尊y,男,4,回复 @固步自封吃枣要完 :谁说没有的，斯大林就承认别人修过好几张
1.27954E+11,20220829,0,81657621,傅里叶变换对,保密,5,回复 @DionKI : 对，都是英雄，都应被铭记。
1.2796E+11,20220829,3,373139760,Lisa-Simpson,保密,5,实际上是他本人差的，但是他们在晚上插了之后，由于该地还会被完全占了，第2天又会拔了，所以二天又插了一次。
1.27962E+11,20220829,3,400645982,手滑大猫王,保密,5,回复 @魂毅明 :你这就是纯抖音观点，这玩意本身就是有争议的
1.27963E+11,20220829,1,53539570,马赫诺仙贝,保密,5,回复 @历史调研室 : 两位都是伟大的反法西斯战士
1.27964E+11,20220829,5,11537303,DJRumia,保密,6,回复 @魂毅明 :还惦记你那手表，就当年那拍照技术在胳膊上能辨认出什么来，为什么不能是指南针呢
1.27972E+11,20220829,0,12321013,读书喝酒的自然醒,保密,5,回复 @魂毅明 :哈哈哈这个我也知道
1.27979E+11,20220829,0,550537707,曼斯泰因,男,4,回复 @高强度对线裁判 :一个是一个不是
1.2798E+11,20220829,0,550537707,曼斯泰因,男,4,回复 @StalinHYB :一个是指南针另一个应该是手表，不然不会p掉
1.28066E+11,20220830,0,439818423,克格勃基层员工,保密,5,回复 @固步自封吃枣要完 :那时候好多p过的照片啊，或许甚至比现在还简单吧，毕竟都糊的跟马赛克一样[无语]
1.28075E+11,20220830,3,86130726,home北漠有鱼,保密,5,回复 @曼斯泰因 : 事实上这张照片从来没被p过，p照片这事本身就是谣言
1.2808E+11,20220830,0,550537707,曼斯泰因,男,4,回复 @home北漠有鱼 :拍摄者都说了，你说这是谣言
1.28084E+11,20220830,1,86130726,home北漠有鱼,保密,5,回复 @曼斯泰因 :哪个拍摄者说了？
1.28097E+11,20220830,0,550537707,曼斯泰因,男,4,回复 @home北漠有鱼 :这张照片的拍摄者
1.28107E+11,20220830,1,86130726,home北漠有鱼,保密,5,回复 @曼斯泰因 :他啥时候说的？
1.28111E+11,20220830,0,550537707,曼斯泰因,男,4,回复 @home北漠有鱼 :自己查吧，互联网上知识那么廉价。
1.28122E+11,20220830,1,430871086,ZYY老板,保密,3,怎么能证明你说的是真的
1.28122E+11,20220830,16,1476111565,ujdjo,保密,2,"回复 @DionKI :？但是照片上的人并不是卡尔巴耶夫啊？阿婆主做视频的时候，本来就是把这个当做苏军胜利的一个象征，一笔带过柯瓦廖夫这个名字。所以你觉得是霍什卡尔巴耶夫的经历如此令人同情，以至于应该割裂视频内容打乱节奏，特意讲讲他的事迹为他平反是吗？
如果你并不是对视频有意见，而是反驳up主的评论的话，可是up主也没有鄙视霍什卡尔巴耶夫啊，只是陈述事实，因为照片上的人本来就不是他。
 B站高赞评论真是日渐迷惑了。这些高赞评论知道自己到底说了什么东西吗？"
1.2814E+11,20220830,1,17846814,郭靖上大学,男,6,回复 @历史调研室 :摆拍嘛，就像美军硫磺岛一样的，不明白为啥有人要争论这个。
1.28145E+11,20220830,3,447325441,FBI查水员,男,5,欧美表示你的第一句话很有用剩下的就不需要了
1.28147E+11,20220830,2,370842388,shingo5712,保密,4,美国人还说是雷泽诺夫与迪米特里插上去的[呲牙]
1.28318E+11,20220901,12,106451013,努力赶稿的霞酱,保密,6,这个骗局就很误导，这件事又不是假的，而且最后立着的那面旗就是他的
1.28589E+11,20220903,5,76116,螺丝侠,保密,6,回复 @ujdjo : 这个说法符合反苏反俄的立场，内容无关紧要的。网上发言必然会出现这种情况。
1.2862E+11,20220903,1,23221250,圆规大师,男,6,回复 @历史调研室 : 国会大厦的德军，准确说外籍德军非常疯狂，在大厦已经完全丢失之后，还在地下室继续战斗
1.28621E+11,20220903,2,36016041,缘过来取look土司5册路,男,5,那个年代摄影技术非常复杂，是一门技术活，对焦曝光需要很长时间，所有的照片其实都是摆拍的，完全胜利以后才有时间从容摆拍照片
1.28654E+11,20220903,1,14633869,准星81,保密,5,回复 @历史调研室 :像极了战地互相拔旗子[呲牙]
1.28675E+11,20220903,1,325501659,盐课司大使,男,5,回复 @缘过来取look土司5册路 :那个年代还在大规模使用湿版摄影？[疑惑]
1.28708E+11,20220904,1,6076955,IrisseArakano,女,6,回复 @固步自封吃枣要完 :当时照片出来，右下方露出半个身子扶着科瓦廖夫插旗的士兵双腕都戴着类似手表的东西，这说明他参与了劫掠行为；当然，那是不是手表不一定，也可能是指南针或者别的什么，这个事情还有争议。但不管怎么说都影响不好，在刊登之前他们把照片上那个士兵手腕上的东西刮掉了（我记得是，可能不对）。柏林战役那段时间苏军军纪很不好，射杀非军事人员这种事是有发生的，只是没有德国人做的那么丧心病狂。
1.2871E+11,20220904,0,279980008,Patrick-Starrrr,男,5,回复 @魂毅明 :哈哈哈
1.28721E+11,20220904,1,391039496,固步自封吃枣要完,男,5,回复 @IrisseArakano :那时候苏军有不少古拉格的初生和混混[吃瓜]，没办法，英雄都死了[doge]（开玩笑）
1.28827E+11,20220905,0,294640573,徐盛年和标风曹纯,男,5,【此非为偏安一隅，但求一方百姓安宁】
1.29144E+11,20220907,7,23475207,星之Kamille,男,5,然而霍什卡尔巴耶夫事后与当时同他一起的布拉托夫都被授予了红旗勋章，苏联从来也没隐藏过二人的功绩，他们在哈萨克斯坦和俄罗斯还有纪念碑
1.29209E+11,20220908,2,27670745,天启，,男,6,回复 @魂毅明 :那玩意是炮兵用的四分仪[吃瓜]
1.29331E+11,20220909,3,74498890,一缕薇风,保密,6,回复 @魂毅明 :很有意思的问题，是如何知道他手上戴的是一个手表，并且是“抢”来的手表。
1.29363E+11,20220909,2,403681587,罗斯涅夫,保密,5,回复 @战忽局从业人员 :这件事可以套一下当年讨论老山插旗照片时的一句话：插旗是假，英雄是真。
1.29474E+11,20220910,0,1306744382,啊福泉丰,保密,2,回复 @固步自封吃枣要完 :大清在的时候就有啦
1.29754E+11,20220912,2,242655476,雪山独照峨眉峰,保密,5,回复 @吃屁-- :他这种人就喜欢刷存在感，不贬低一下别人怎么显得他自己知道的多呢。
1.2992E+11,20220913,0,108542514,伊卡洛斯A奈特,男,5,"回复 @固步自封吃枣要完 :登报之前可以扣 底片也能改
八一电影制片厂就是把两段胶卷扣薄做的转场和渐入渐出"
1.30053E+11,20220914,0,522888159,艾里茜-雷德尔,保密,4,回复 @圣露米娅格勒方面军 :那时候照片像素可比现在高，都是分子级的。只要曝光正常啥都能看清
1.30059E+11,20220914,0,11537303,DJRumia,保密,6,回复 @艾里茜-雷德尔 :呃呃，那是1945年的照片，你要不看看你在说什么
1.30061E+11,20220914,0,522888159,艾里茜-雷德尔,保密,4,回复 @圣露米娅格勒方面军 :我觉得你得好好去想一想，那时候都是直接用底片照相光线直接打在底片上成像都是分子级别的，比现在照片清晰度高多了
1.30061E+11,20220914,0,522888159,艾里茜-雷德尔,保密,4,回复 @圣露米娅格勒方面军 :去搜一搜是胶卷相机清晰度高还是数码相机清晰度高
1.30076E+11,20220914,0,11537303,DJRumia,保密,6,回复 @艾里茜-雷德尔 :小查了两下 黑白胶卷拍得也算清晰，私密马赛🙇🏻🙇🏻🙇🏻🙇🏻🙇🏻
1.30144E+11,20220915,1,32238291,魂魄小妖夢,保密,6,拿部分真实否认另一部分真实，谣言就是这么来的
1.30601E+11,20220919,1,36484394,槑的肥喵,保密,5,特么柏林都成了美军解放得了，你在这扯插旗？
1.30639E+11,20220919,0,253549616,33痞气,男,5,回复 @固步自封吃枣要完 :这我懂，用铅笔涂底片就好了[脱单doge]，铅笔+橡皮檫就可以完成最原始的ps功能
1.30783E+11,20220920,0,275182276,ppppp2018,保密,5,终于看到了..终于看到了..原来是星条旗插在了德国国会大厦上..[doge]
1.30824E+11,20220921,0,259954236,Bili_259954236,保密,5,回复 @无有所碍 :所以说，毛子当年在东北拆工厂设备也是合情合理了？问问你们那还健在的老一辈吧，对毛子是啥印象…
1.30824E+11,20220921,0,259954236,Bili_259954236,保密,5,回复 @战忽局从业人员 :卡廷惨案也争议了几十年，最后呢…..
1.30825E+11,20220921,1,2145586827,丁亚斌,保密,2,回复 @冰雪蓝海上的熊 :人民英雄永垂不朽
1.30847E+11,20220921,2,6511370,赤色彗星的陨落,男,6,洋洋洒洒一大堆，然而居然连最基本的标志——锤子，都能弄错说成斧头，也是经典低级
1.30912E+11,20220921,0,253874326,ALEX781010,保密,5,回复 @Bili_259954236 : 老一辈对苏联人的印象有很多，但这一切和苏联在二战中粉碎法西斯的历史功绩没有任何冲突。
1.30977E+11,20220922,0,416993327,洗帝208W阴阳钱洗,保密,4,回复 @魂毅明 :一块手表被人P成了俩块[辣眼睛][辣眼睛][辣眼睛]
1.31006E+11,20220922,1,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :一些设备，和盘踞在东北的几十万关东军孰轻孰重
1.31015E+11,20220922,0,259954236,Bili_259954236,保密,5,回复 @85508435039_bili :你说的是即将投降的几十万关东军吗？ 你去查下战史就会发现在关东军投降以前，毛子根本就没占领多少区域，更谈不上消灭多少关东军……
1.31031E+11,20220923,0,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :这也太离谱了连删几个评[微笑]
1.31101E+11,20220923,0,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :还有照你这么说拥有大量T34且牢牢掌握制空权，人数是日本两倍的苏军都推不动大量精锐被调走关东军，我想问问国府是怎么撑这么久的
1.31102E+11,20220923,0,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :苏联干的事有很多都是屑中之屑，比如你之前说的卡廷森林，乌克兰饥荒等等等但请不要二极管
1.31124E+11,20220923,0,259954236,Bili_259954236,保密,5,回复 @85508435039_bili :不要动不动“照我这么说”，我说的都是事实，哪一条不对你可以发驳，反正我对毛子没有好感……
1.31133E+11,20220923,0,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :一共才一个月时间，苏军冲的多快才不叫被日军挡住
1.31135E+11,20220923,0,404104629,85508435039_bili,保密,5,回复 @Bili_259954236 :很少有人对毛子有好感，顶多对布尔什维克罢了
1.31147E+11,20220924,0,324993187,bingo是什么狗,男,5,虽然你后面说的没错，但直接说科瓦廖夫是个骗局就有点离谱了，不知道误导了多少人
1.31437E+11,20220926,1,49691140,dorlyan,男,6,回复 @魂毅明 :英雄又不是圣人。用“抢”这个字已经很说明你的立场了，典型的道德瑕疵毁灭英雄形象，老星条旗艺能了。
1.31868E+11,20220930,0,344554107,小弟LAN,男,6,回复 @魂毅明 :手表这件事有争议，有说是腕式指南针，这就是手表，总之你当时的拍摄，哪怕有底片也很难确认
1.3187E+11,20220930,0,344554107,小弟LAN,男,6,回复 @Bili_259954236 :我没记错的话，大连博物馆里面有写这段历史，只是轻描淡写这八月风暴中消灭了大量日伪军，随后接管了大连，所以没有消灭多少人的说法，不知道是从哪里来的。如果你是按总兵力来计算的话确实没多少，但一个部队不可能全员战斗没有一个人在搞后勤的吧？后勤人员难道就不是兵？
